song_name,song_file_path_name,composer,album,released_year,genre,lyricist,singers,lyrics
Waiting For You,waiting-for-you.wav,Holodr3ams,Pixabay,2020,Rock,Holodr3ams,Holodr3ams,
Too Sad To Cry,too-sad-to-cry.wav,ctan28,Pixabay,2022,Pop,ctan28,ctan28,
Sunshine Dance,sunshine-dance.wav,Surprising Media,Pixabay,2021,Pop,Surprising Media,Surprising Media,
Apocalypse,apocalypse.wav,voiceofruthie,Pixabay,2023,Pop,voiceofruthie,voiceofruthie,
Live To Die,live-to-die.wav,Rangga Fermata,Pixabay,2024,Rhythm and Blues,Rangga Fermata,Rangga Fermata,
Bang A Bop - pop-a-lock,bang-a-bop-pop-a-lock.wav,AiCanvas,Pixabay,2022,American Roots Rock,AiCanvas,AiCanvas,
Good To You,good-to-you.wav,Rangga Fermata,Pixabay,2023,Pop,Rangga Fermata,Rangga Fermata,
Best Thing,best-thing.wav,AiCanvas,Pixabay,2023,Rhythm and Blues,AiCanvas,AiCanvas,
I'm Hollow,im-hollow.wav,u_1gnk67ajn8,Pixabay,2021,Pop,u_1gnk67ajn8,u_1gnk67ajn8,
Truth,truth.wav,antibioticZG,Pixabay,2024,Pop,antibioticZG,antibioticZG,
